name,mp,pp,claims,claim_mistakes,weighted_claim_mistakes,leads,lead_mistakes,weighted_lead_mistakes,cards_played_as_declarer,play_mistakes_as_declarer,weighted_play_mistakes_as_declarer,cards_played_as_defender,play_mistakes_as_defender,weighted_play_mistakes_as_defender,auctions_analyzed,defender_missed_current_double,weighted_defender_missed_current_double,defender_erroneously_doubled,weighted_defender_erroneously_doubled,defender_missed_higher_contract,weighted_defender_missed_higher_contract,declarer_missed_higher_contract,weighted_declarer_missed_higher_contract,declarer_missed_doubling_opponents_last_bid,weighted_declarer_missed_doubling_opponents_last_bid,declarer_missed_opponents_last_redouble,weighted_declarer_missed_opponents_last_redouble,declarer_missed_redoubling_opponents_erroneous_double,weighted_declarer_missed_redoubling_opponents_erroneous_double,declarer_missed_opponents_last_bid,weighted_declarer_missed_opponents_last_bid,declarer_erroneous_redouble,weighted_declarer_erroneous_redouble,passed_higher_contract,weighted_passed_higher_contract  
Seymon Deutsch,1315.0,15.0,151,4,190,37,11,2910,567,16,910,575,22,3110,155,22.0,4550.0,0,0,9.0,2540.0,35.0,11250.0,8.0,2780.0,0,0,1.0,620.0,3.0,460.0,0,0,2,150
Jeff Meckstroth,2275.0,66.25,615,6,1050,141,28,4860,2504,66,15600,2139,41,9670,637,106.0,16400.0,2.0,350.0,48.0,13990.0,123.0,43580.0,50.0,23190.0,0,0,22.0,16500.0,14.0,3480.0,0,0,1,140
Doris Fischer,102.0,0.0,185,2,100,40,6,1210,815,21,2640,672,22,1880,195,35.0,6450.0,0,0,15.0,3980.0,43.0,17080.0,9.0,2390.0,0,0,5.0,990.0,6.0,2210.0,0,0,2,250
Elizabeth Mcgowan,7.0,0.0,404,14,1710,98,21,4110,1520,58,11760,1510,44,6600,513,79.0,13500.0,1.0,200.0,50.0,15220.0,105.0,36430.0,41.0,24420.0,0,0,7.0,7500.0,5.0,1690.0,0,0,1,110
Terry Weigkricht,0.0,0.0,573,21,2080,162,29,5940,1929,60,15130,1989,62,11450,604,97.0,16150.0,3.0,830.0,53.0,11120.0,123.0,48170.0,31.0,12250.0,0,0,15.0,7360.0,10.0,4250.0,0,0,2,250
Sandra Penfold,20.0,0.0,211,6,1650,55,9,2100,1099,43,5730,864,19,3710,239,36.0,4800.0,1.0,150.0,20.0,5300.0,50.0,16600.0,15.0,6660.0,0,0,6.0,6030.0,2.0,610.0,0,0,1,140
Maria Erhart,21.0,0.0,254,10,1270,66,14,3320,938,23,4550,828,22,2600,265,37.0,5200.0,0,0,23.0,7460.0,62.0,17580.0,17.0,11660.0,0,0,5.0,2880.0,2.0,450.0,0,0,2,1030
Pat Davies,0.0,0.0,135,1,60,28,2,320,641,20,2260,552,17,2830,138,24.0,4650.0,0,0,11.0,2150.0,31.0,11400.0,10.0,4330.0,0,0,5.0,1950.0,5.0,1300.0,0,0,1,90
Barbara Lindinger,0.0,0.0,155,7,1030,36,8,2280,585,22,2120,607,19,3640,160,26.0,3750.0,0,0,18.0,4660.0,34.0,11830.0,9.0,7710.0,0,0,2.0,1570.0,2.0,450.0,0,0,2,1030
Wubbo De Boer,19.0,8.0,380,10,1190,94,14,3640,1642,54,12000,1352,25,3410,388,57.0,8050.0,2.0,320.0,23.0,7010.0,91.0,37310.0,27.0,12400.0,0,0,15.0,10170.0,7.0,1440.0,0,0,2,250
Jim Nielsen,4.0,2.0,368,13,1020,100,17,1810,1492,51,9730,1104,32,4640,409,63.0,16550.0,2.0,350.0,27.0,7760.0,105.0,40080.0,42.0,21750.0,0,0,10.0,6120.0,6.0,2800.0,0,0,0,0
Bauke Muller,2608.0,31.0,609,17,2690,163,29,6520,2529,70,9780,2297,53,8070,653,99.0,14000.0,2.0,320.0,46.0,11480.0,148.0,57480.0,45.0,18530.0,0,0,25.0,18370.0,10.0,2150.0,0,0,2,250
Anders Brunzell,4.0,4.0,249,6,1240,49,14,5330,972,22,3200,708,14,2540,272,46.0,13500.0,2.0,350.0,15.0,3770.0,73.0,30700.0,27.0,13010.0,0,0,6.0,3840.0,5.0,2430.0,0,0,0,0
Mats Nilsland,16.0,7.5,887,28,4150,239,54,9570,2883,86,13050,3047,85,12740,921,123.0,21700.0,2.0,440.0,83.0,17990.0,198.0,69410.0,60.0,27630.0,0,0,18.0,13700.0,12.0,4670.0,0,0,4,480
Enri Leufkens,8.0,8.0,402,11,1990,84,26,8000,1543,40,7270,1427,38,7020,409,70.0,12100.0,3.0,440.0,29.0,6930.0,86.0,26140.0,37.0,21780.0,0,0,8.0,4570.0,6.0,1710.0,0,0,1,80
Sandra Landy,0.0,0.0,134,3,110,29,7,1150,615,17,2920,504,12,3150,139,20.0,3150.0,1.0,220.0,14.0,4890.0,28.0,10750.0,10.0,6840.0,0,0,6.0,5820.0,2.0,160.0,0,0,3,830
Samir Salib,2.0,2.0,94,3,290,26,6,1730,325,12,2580,383,14,2850,96,14.0,2250.0,3.0,660.0,10.0,1710.0,17.0,5180.0,8.0,5750.0,0,0,1.0,1750.0,1.0,380.0,0,0,0,0
Apolinary Kowalski,241.0,2.5,450,10,4350,98,23,3820,1871,64,14550,1562,32,7370,454,71.0,11800.0,2.0,370.0,36.0,9090.0,91.0,31210.0,31.0,11740.0,0,0,6.0,-150.0,7.0,2050.0,0,0,3,240
Ophir Herbst,283.0,2.0,796,24,3020,179,37,8580,3425,111,13370,2737,65,10880,878,101.0,14000.0,3.0,990.0,72.0,15450.0,188.0,65790.0,84.5,43135.0,0,0,24.5,17625.0,14.0,2810.0,0,0,6,570
Lars Blakset,55.0,4.0,389,3,90,89,17,2970,1618,37,6060,1324,27,3600,408,70.0,18700.0,1.0,170.0,20.0,6700.0,96.0,26450.0,35.0,18860.0,1.0,850.0,6.0,3790.0,5.0,2020.0,0,0,0,0
Knut Blakset,6.0,1.0,142,5,430,30,5,660,523,15,2360,431,6,1110,161,27.0,11800.0,1.0,170.0,6.0,1990.0,44.0,13270.0,13.0,8490.0,1.0,850.0,3.0,2150.0,2.0,510.0,0,0,0,0
Jens Auken,950.0,7.5,421,7,520,109,25,3640,1963,57,11120,1649,36,5150,434,65.0,10850.0,2.0,180.0,38.0,13130.0,89.0,26440.0,30.0,16340.0,0,0,9.0,5710.0,4.0,760.0,0,0,1,110
Daniela Von Arnim,46.0,0.0,144,0,0,34,7,2350,714,25,3650,577,10,1820,154,17.0,2450.0,1.0,170.0,11.0,4020.0,40.0,12670.0,12.0,5710.0,1.0,1800.0,5.0,3140.0,1.0,380.0,0,0,0,0
Karin Caesar,0.0,0.0,71,1,30,16,3,790,310,12,1670,357,7,1190,71,9.0,1250.0,0,0,10.0,3590.0,14.0,5500.0,4.0,1570.0,0,0,2.0,1740.0,1.0,10.0,0,0,0,0
Marianne Moegel,0.0,0.0,48,0,0,16,3,590,196,5,590,252,4,1330,48,8.0,1200.0,0,0,4.0,2210.0,9.0,4370.0,3.0,1320.0,0,0,2.0,1740.0,0,0,0,0,0,0
V ronique Bessis,8.0,0.0,168,4,2200,43,10,3100,811,24,2420,634,10,1350,179,36.0,6800.0,0,0,12.0,1980.0,34.0,12760.0,20.0,9280.0,0,0,5.0,4630.0,3.0,130.0,0,0,0,0
Sylvie Willard,0.0,0.0,1145,24,4380,301,60,9180,4880,151,24460,4242,89,13660,1256,154.0,27600.0,4.0,850.0,105.0,24010.0,280.0,101480.0,95.0,44650.0,2.0,1850.0,27.0,18930.0,16.0,2400.0,0,0,2,500
Elisabeth Delor,0.0,0.0,96,1,300,21,5,1100,520,11,930,357,10,1430,96,15.0,2400.0,0,0,11.0,3170.0,20.0,6100.0,8.0,4430.0,0,0,3.0,2830.0,2.0,490.0,0,0,0,0
Colette Lise,0.0,0.0,96,3,780,25,0,0,349,17,6770,352,9,630,96,15.0,2400.0,0,0,11.0,3170.0,20.0,6100.0,8.0,4430.0,0,0,3.0,2830.0,2.0,490.0,0,0,0,0
